idu,id_adr,type_lien,nb_adr,nb_parc
75107000BR0024,75107_5827_00001_b,GEO,10,1
75107000BJ0018,75107_4015_00009,GEO,22,1
75107000BZ0041,75107_8529_00091,GEO,2,1
75107000CI0049,75107_5202_00033,GEO,2,1
75107000AX0052,75107_8529_00011_b,GEO,2,1
75107000BJ0018,75107_3076_00007,GEO,22,1
75107000AR0010,75107_8529_00030,GEO,1,1
75107000AM0032,75107_8762_00002,GEO,3,1
75107000AM0036,75107_7170_00008,GEO,3,1
75107000BI0019,75107_6200_00008,GEO,5,1
75107000BZ0016,75107_8529_00099,GEO,1,1
75107000AM0003,75107_0825_00025,GEO,6,1
75107000AR0022,75107_1202_00008,GEO,2,1
75107000BR0024,75107_0991_00005,GEO,10,1
75107000CD0066,75107_8904_00004,GEO,7,1
75107000CD0066,75107_8529_00133,GEO,7,1
75107000BJ0018,75107_4015_00011,GEO,22,1
75107000BZ0112,75107_8529_00105,GEO,1,1
75107000CD0066,75107_8904_00002,GEO,7,1
75107000AR0006,75107_8529_00034,GEO,1,1
75107000BJ0018,75107_3045_00016,GEO,22,1
75107000BJ0018,75107_3045_00014,GEO,22,1
75107000BI0019,75107_6200_00006,GEO,5,1
75107000BI0019,75107_4015_00019_t,GEO,5,1
75107000CG0017,75107_9114_00025,GEO,2,1
75107000BJ0018,75107_4015_00013,GEO,22,1
75107000BR0024,75107_0991_00003,GEO,10,1
75107000AM0003,75107_0825_00023,GEO,6,1
75107000BJ0016,75107_4015_00006,GEO,1,1
75107000BZ0060,75107_8529_00083,GEO,1,1
75107000BZ0042,75107_8529_00089,GEO,2,1
75107000BJ0018,75107_4015_00005,GEO,22,1
75107000BI0014,75107_4015_00022,GEO,2,1
75107000AX0052,75107_8529_00013,GEO,2,1
75107000BR0024,75107_0991_00007,GEO,10,1
75107000BJ0018,75107_6160_00006,GEO,22,1
75107000BI0011,75107_4015_00032,GEO,2,1
75107000BJ0014,75107_4015_00010,GEO,1,1
75107000CD0001,75107_5202_00047,GEO,3,1
75107000CI0049,75107_4022_00012,GEO,2,1
75107000BI0011,75107_4015_00030,GEO,2,1
75107000CD0066,75107_8904_00005,GEO,7,1
75107000BZ0015,75107_8529_00103,GEO,1,1
75107000AM0003,75107_0825_00021,GEO,6,1
75107000BJ0018,75107_4015_00007,GEO,22,1
75107000CD0078,75107_8529_00131,GEO,1,1
75107000BJ0018,75107_4015_00003,GEO,22,1
75107000CI0045,75107_4022_00008,GEO,2,1
75107000BZ0082,75107_8529_00075,GEO,4,1
75107000AM0003,75107_0825_00027,GEO,6,1
75107000BR0024,75107_8909_00002,GEO,10,1
75107000BI0019,75107_4015_00019,GEO,5,1
75107000AX0040,75107_8529_00027,GEO,1,1
75107000BJ0018,75107_4015_00001,GEO,22,1
75107000BJ0018,75107_6160_00002,GEO,22,1
75107000BZ0042,75107_4934_00002,GEO,2,1
75107000BJ0018,75107_6160_00012,GEO,22,1
75107000BJ0018,75107_3045_00010,GEO,22,1
75107000BJ0018,75107_3076_00011,GEO,22,1
75107000BJ0013,75107_4015_00012,GEO,1,1
75107000BZ0003,75107_8529_00109_b,GEO,1,1
75107000CD0066,75107_8904_00001,GEO,7,1
75107000CG0017,75107_4051_00005,GEO,2,1
75107000AM0036,75107_7170_00006,GEO,3,1
75107000BJ0018,75107_3076_00013,GEO,22,1
75107000BJ0018,75107_3076_00009,GEO,22,1
75107000CD0001,75107_8529_00149,GEO,3,1
75107000BI0019,75107_4015_00019_b,GEO,5,1
75107000BJ0018,75107_6160_00004,GEO,22,1
75107000AL0049,75107_8762_00011,GEO,1,1
75107000CD0066,75107_8904_00006,GEO,7,1
75107000CJ0014,75107_8529_00122,GEO,1,1
75107000BJ0018,75107_6160_00014,GEO,22,1
75107000BJ0018,75107_6160_00008,GEO,22,1
75107000AL0050,75107_8762_00009,GEO,1,1
75107000BR0024,75107_9611_00009,GEO,10,1
75107000BZ0082,75107_2223_00001,GEO,4,1
75107000CI0048,75107_4022_00010,GEO,1,1
75107000BJ0018,75107_6160_00010,GEO,22,1
75107000BZ0082,75107_8529_00073,GEO,4,1
75107000CJ0015,75107_8529_00120,GEO,1,1
75107000AM0003,75107_8529_00007,GEO,6,1
75107000AV0003,75107_8529_00067,GEO,1,1
75107000CD0106,75107_8529_00125,GEO,1,1
75107000BJ0015,75107_4015_00008,GEO,1,1
75107000BJ0018,75107_3045_00012,GEO,22,1
75107000BZ0017,75107_8529_00097,GEO,1,1
75107000BZ0041,75107_0268_00001,GEO,2,1
75107000BR0024,75107_9611_00011,GEO,10,1
75107000AR0022,75107_8529_00022,GEO,2,1
75107000BI0025,75107_4015_00029,GEO,1,1
75107000BZ0059,75107_8529_00085,GEO,1,1
75107000BI0014,75107_4015_00020_b,GEO,2,1
75107000AX0045,75107_8529_00021,GEO,1,1
75107000BZ0014,75107_8529_00101,GEO,1,1
75107000CF0020,75107_4033_00006,GEO,2,1
75107000AM0032,75107_8762_00004,GEO,3,1
75107000AM0018,75107_8762_00012,GEO,1,1
75107000CI0045,75107_4022_00006,GEO,2,1
75107000BZ0082,75107_2223_00003,GEO,4,1
75107000BR0024,75107_0991_00001,GEO,10,1
75107000AM0003,75107_0825_00027_b,GEO,6,1
75108000AX0039,75108_3518_00233,GEO,5,1
75107000CL0029,75107_4935_00019,GEO,4,1
75108000AR0065,75108_jjathb_00050,GEO,1,1
75108000AM0012,75108_jjathb_00016,GEO,5,1
75108000AM0012,75108_0746_00013,GEO,5,1
75108000AU0036,75108_9942_00021,GEO,1,1
75108000AX0039,75108_9936_00003_b,GEO,5,1
75108000AK0042,75108_cqomj4_00040,GEO,2,1
75107000CS0004,75107_6866_00002,GEO,2,1
75107000CK0033,75107_8529_00102,GEO,4,1
75108000AU0011,75108_9942_00007,GEO,2,1
75107000CK0033,75107_5317_00018,GEO,4,1
75107000CK0052,75107_8529_00100,GEO,2,1
75107000CL0029,75107_4935_00017,GEO,4,1
75107000CL0029,75107_8529_00072,GEO,4,1
75107000CL0058,75107_8529_00056,GEO,1,1
75108000AL0005,75108_cqomj4_00014,GEO,1,1
75108000BF0023,75108_9942_00028,GEO,2,1
75107000CL0077,75107_8529_00080,GEO,3,1
75107000CL0059,75107_9127_00028,GEO,5,1
75107000CJ0036,75107_8529_00112,GEO,3,1
75108000AX0039,75108_9936_00003,GEO,5,1
75107000CK0090,75107_8529_00096,GEO,3,1
75107000CK0053,75107_8529_00094,GEO,3,1
75108000AP0056,75108_kj8t0g_00040,GEO,1,1
75108000AU0016,75108_9942_00015,GEO,1,1
75108000AL0001,75108_0746_00010,GEO,4,1
75108000AU0013,75108_1914_00005,GEO,3,1
75107000CL0059,75107_s6zv5o_00001,GEO,5,1
75108000AU0011,75108_9942_00005,GEO,2,1
75107000CL0059,75107_8529_00054,GEO,5,1
75107000CS0004,75107_5532_00020,GEO,2,1
75107000CJ0038,75107_8529_00108,GEO,1,1
75108000AL0001,75108_jjathb_00007,GEO,4,1
75108000AM0012,75108_jjathb_00014,GEO,5,1
75108000AL0001,75108_0746_00012,GEO,4,1
75107000CL0030,75107_8529_00070,GEO,1,1
75108000AU0037,75108_9942_00023,GEO,1,1
75108000BF0023,75108_9942_00026,GEO,2,1
75108000AK0032,75108_cqomj4_00030,GEO,1,1
75108000AN0029,75108_5388_00021,GEO,2,1
75108000AL0001,75108_9584bm_00009,GEO,4,1
75108000AM0012,75108_0746_00015,GEO,5,1
75108000AP0085,75108_kj8t0g_00032,GEO,2,1
75108000AL0007,75108_cqomj4_00008,GEO,2,1
75108000AU0010,75108_9942_00003,GEO,1,1
75108000BF0024,75108_9942_00030,GEO,1,1
75108000BF0025,75108_9942_00032,GEO,3,1
75108000AL0007,75108_jjathb_00003,GEO,2,1
75107000CL0012,75107_8529_00086,GEO,1,1
75108000AR0013,75108_jjathb_00062,GEO,1,1
75107000CK0029,75107_1119_00035,GEO,2,1
75107000CK0033,75107_5317_00020,GEO,4,1
75107000CL0077,75107_8529_00082,GEO,3,1
75108000BF0015,75108_9942_00022,GEO,2,1
75108000AP0085,75108_2841_00002,GEO,2,1
75107000CK0053,75107_7480_00003,GEO,3,1
75107000CL0077,75107_8529_00084,GEO,3,1
75108000AU0013,75108_9942_00013,GEO,3,1
75107000CK0033,75107_5317_00016,GEO,4,1
75107000CJ0033,75107_8529_00116,GEO,1,1
75108000AK0042,75108_4897_00039,GEO,2,1
75107000CL0025,75107_8529_00078,GEO,1,1
75108000AU0054,75108_9942_00035,GEO,1,1
75108000BF0015,75108_9942_00024,GEO,2,1
75107000CK0052,75107_5317_00017,GEO,2,1
75108000AP0057,75108_kj8t0g_00038,GEO,1,1
75108000AU0013,75108_1914_00011,GEO,3,1
75107000CJ0016,75107_8529_00118,GEO,1,1
75108000AX0039,75108_9936_00001,GEO,5,1
75108000BQ0035,75108_1993_00011,GEO,1,1
75107000CL0029,75107_4935_00015,GEO,4,1
75108000BF0025,75108_6877_00008,GEO,3,1
75107000CK0053,75107_7480_00001,GEO,3,1
75107000CL0059,75107_9127_00030,GEO,5,1
75107000CJ0035,75107_8903_00016,GEO,2,1
75107000CK0090,75107_5317_00015,GEO,3,1
75108000BE0013,75108_8728_00008,GEO,1,1
75108000AM0012,75108_9584bm_00002,GEO,5,1
75108000BF0006,75108_9942_00010,GEO,1,1
75108000AX0029,75108_9936_00023,GEO,1,1
75107000CJ0036,75107_8903_00011_b,GEO,3,1
75107000CL0059,75107_s6zv5o_00003,GEO,5,1
75108000AU0035,75108_9942_00019,GEO,2,1
75107000CL0042,75107_8529_00064,GEO,1,1
75108000BF0025,75108_9942_00034,GEO,3,1
75108000AU0038,75108_9942_00021_a,GEO,1,1
75107000CJ0036,75107_8903_00013,GEO,3,1
75108000AN0029,75108_jjathb_00029,GEO,2,1
75107000CK0029,75107_8529_00104,GEO,2,1
75107000CJ0035,75107_8529_00114,GEO,2,1
75107000CK0090,75107_8529_00098,GEO,3,1
75108000AU0045,75108_9942_00033,GEO,1,1
75108000AU0035,75108_1914_00002,GEO,2,1
75108000AX0039,75108_9936_00005,GEO,5,1
75109000AF0121,75109_1602_00038,GEO,1,1
75108000CG0048,75108_2386_00005,GEO,3,1
75109000AI0052,75109_9369_00004,GEO,9,1
75109000AU0048,75109_9663_00031,GEO,25,1
75109000AI0052,75109_1602_00009,GEO,9,1
75109000AU0059,75109_3510_00017,GEO,1,1
75109000AU0048,75109_9663_00009,GEO,25,1
75109000AU0048,75109_9663_00007,GEO,25,1
75109000AI0052,75109_1602_00017,GEO,9,1
75109000AU0061,75109_3510_00013,GEO,1,1
75109000AU0040,75109_4295_00012,GEO,1,1
75109000AU0048,75109_9663_00024,GEO,25,1
75109000AB0076,75109_1547_00004,GEO,1,1
75109000AI0046,75109_5211_00025,GEO,2,1
75109000AU0057,75109_4295_00005,GEO,1,1
75109000AH0007,75109_3374_00006,GEO,1,1
